[nemotron_super3_120b] model=nvidia.nemotron-super-3-120b sample=586 n_gens=16 todo=9376 (done=0)
[nemotron_super3_120b] 50/9376 done, ok=0 err=0 (7.3m)
[nemotron_super3_120b] 1300/7839 done, ok=0 err=0 (183.3m)
[nemotron_super3_120b] 1350/7839 done, ok=0 err=0 (190.9m)
[nemotron_super3_120b] 1400/7839 done, ok=0 err=0 (198.3m)
[nemotron_super3_120b] 1450/7839 done, ok=0 err=0 (207.7m)
[nemotron_super3_120b] 1500/7839 done, ok=0 err=0 (214.5m)
[nemotron_super3_120b] 1550/7839 done, ok=0 err=0 (222.6m)
[nemotron_super3_120b] 1600/7839 done, ok=0 err=0 (229.9m)
[nemotron_super3_120b] 1650/7839 done, ok=0 err=0 (237.3m)
[nemotron_super3_120b] 1700/7839 done, ok=0 err=0 (244.0m)
[nemotron_super3_120b] 1750/7839 done, ok=0 err=0 (251.5m)
[nemotron_super3_120b] 1800/7839 done, ok=0 err=0 (260.4m)
[nemotron_super3_120b] 1850/7839 done, ok=0 err=0 (268.6m)
[nemotron_super3_120b] 1900/7839 done, ok=0 err=0 (275.8m)
[nemotron_super3_120b] 1950/7839 done, ok=0 err=0 (283.8m)
[nemotron_super3_120b] 2000/7839 done, ok=0 err=0 (291.7m)
[nemotron_super3_120b] 2050/7839 done, ok=0 err=0 (300.0m)
[nemotron_super3_120b] 2100/7839 done, ok=0 err=0 (308.5m)
[nemotron_super3_120b] 2150/7839 done, ok=0 err=0 (315.0m)
[nemotron_super3_120b] 2200/7839 done, ok=0 err=0 (321.2m)
[nemotron_super3_120b] 2250/7839 done, ok=0 err=0 (328.1m)
[nemotron_super3_120b] 2300/7839 done, ok=0 err=0 (335.2m)
[nemotron_super3_120b] 2350/7839 done, ok=0 err=0 (342.6m)
[nemotron_super3_120b] 2400/7839 done, ok=0 err=0 (349.2m)
[nemotron_super3_120b] 2450/7839 done, ok=0 err=0 (357.3m)
[nemotron_super3_120b] 2500/7839 done, ok=0 err=0 (362.9m)
[nemotron_super3_120b] 2550/7839 done, ok=0 err=0 (369.6m)
[nemotron_super3_120b] 2600/7839 done, ok=0 err=0 (378.1m)
[nemotron_super3_120b] 2650/7839 done, ok=0 err=0 (384.9m)
[nemotron_super3_120b] 2700/7839 done, ok=0 err=0 (392.3m)
[nemotron_super3_120b] 2750/7839 done, ok=0 err=0 (399.7m)
[nemotron_super3_120b] 2800/7839 done, ok=0 err=0 (406.2m)
[nemotron_super3_120b] 2850/7839 done, ok=0 err=0 (413.7m)
[nemotron_super3_120b] 2900/7839 done, ok=0 err=0 (421.7m)
[nemotron_super3_120b] 2950/7839 done, ok=0 err=0 (428.3m)
[nemotron_super3_120b] 3000/7839 done, ok=0 err=0 (435.7m)
[nemotron_super3_120b] 3050/7839 done, ok=0 err=0 (445.2m)
[nemotron_super3_120b] 3100/7839 done, ok=0 err=0 (453.2m)
[nemotron_super3_120b] 3150/7839 done, ok=0 err=0 (460.2m)
[nemotron_super3_120b] 3200/7839 done, ok=0 err=0 (467.4m)
[nemotron_super3_120b] 3250/7839 done, ok=0 err=0 (474.2m)
[nemotron_super3_120b] 3300/7839 done, ok=0 err=0 (481.7m)
[nemotron_super3_120b] 3350/7839 done, ok=0 err=0 (490.8m)
[nemotron_super3_120b] 3400/7839 done, ok=1 err=0 (499.5m)
[nemotron_super3_120b] 3450/7839 done, ok=1 err=0 (507.1m)
[nemotron_super3_120b] 3500/7839 done, ok=3 err=0 (515.6m)
[nemotron_super3_120b] 3550/7839 done, ok=3 err=0 (522.6m)
[nemotron_super3_120b] 3600/7839 done, ok=3 err=0 (532.3m)
[nemotron_super3_120b] 3650/7839 done, ok=3 err=0 (542.9m)
[nemotron_super3_120b] 3700/7839 done, ok=4 err=0 (550.1m)
[nemotron_super3_120b] 3750/7839 done, ok=6 err=0 (557.1m)
[nemotron_super3_120b] 3800/7839 done, ok=6 err=0 (565.8m)
[nemotron_super3_120b] 3850/7839 done, ok=9 err=0 (572.1m)
[nemotron_super3_120b] 3900/7839 done, ok=9 err=0 (578.6m)
[nemotron_super3_120b] 3950/7839 done, ok=10 err=0 (585.3m)
[nemotron_super3_120b] 4000/7839 done, ok=11 err=0 (591.8m)
[nemotron_super3_120b] 4050/7839 done, ok=11 err=0 (598.4m)
[nemotron_super3_120b] 4100/7839 done, ok=12 err=0 (605.6m)
