[mistral_large3] model=mistral.mistral-large-3-675b-instruct sample=586 n_gens=16 todo=9328 (done=48)
[mistral_large3] 50/9328 done, ok=0 err=0 (1.2m)
[mistral_large3] 4300/9135 done, ok=4 err=0 (101.8m)
[mistral_large3] 4350/9135 done, ok=4 err=0 (102.8m)
[mistral_large3] 4400/9135 done, ok=4 err=0 (104.0m)
[mistral_large3] 4450/9135 done, ok=4 err=0 (105.3m)
[mistral_large3] 4500/9135 done, ok=5 err=0 (106.6m)
[mistral_large3] 4550/9135 done, ok=5 err=0 (107.7m)
[mistral_large3] 4600/9135 done, ok=5 err=0 (109.4m)
[mistral_large3] 4650/9135 done, ok=5 err=0 (111.5m)
[mistral_large3] 4700/9135 done, ok=5 err=0 (113.8m)
[mistral_large3] 4750/9135 done, ok=13 err=0 (115.7m)
[mistral_large3] 4800/9135 done, ok=13 err=0 (117.3m)
[mistral_large3] 4850/9135 done, ok=13 err=0 (118.2m)
[mistral_large3] 4900/9135 done, ok=13 err=0 (119.9m)
[mistral_large3] 4950/9135 done, ok=13 err=0 (121.9m)
[mistral_large3] 5000/9135 done, ok=14 err=0 (124.1m)
[mistral_large3] 5050/9135 done, ok=15 err=0 (125.8m)
[mistral_large3] 5100/9135 done, ok=15 err=0 (128.0m)
[mistral_large3] 5150/9135 done, ok=15 err=0 (129.2m)
[mistral_large3] 5200/9135 done, ok=15 err=0 (130.6m)
[mistral_large3] 5250/9135 done, ok=15 err=0 (132.5m)
[mistral_large3] 5300/9135 done, ok=15 err=0 (134.2m)
[mistral_large3] 5350/9135 done, ok=15 err=0 (135.6m)
[mistral_large3] 5400/9135 done, ok=17 err=0 (137.8m)
[mistral_large3] 5450/9135 done, ok=17 err=0 (139.3m)
[mistral_large3] 5500/9135 done, ok=19 err=0 (141.1m)
[mistral_large3] 5550/9135 done, ok=19 err=0 (143.6m)
[mistral_large3] 5600/9135 done, ok=19 err=0 (145.0m)
[mistral_large3] 5650/9135 done, ok=19 err=0 (146.6m)
[mistral_large3] 5700/9135 done, ok=24 err=0 (148.0m)
[mistral_large3] 5750/9135 done, ok=34 err=0 (149.2m)
[mistral_large3] 5800/9135 done, ok=34 err=0 (151.3m)
[mistral_large3] 5850/9135 done, ok=36 err=0 (153.2m)
[mistral_large3] 5900/9135 done, ok=37 err=0 (154.6m)
[mistral_large3] 5950/9135 done, ok=41 err=0 (155.5m)
[mistral_large3] 6000/9135 done, ok=42 err=0 (156.5m)
[mistral_large3] 6050/9135 done, ok=42 err=0 (157.7m)
[mistral_large3] 6100/9135 done, ok=49 err=0 (159.0m)
[mistral_large3] 6150/9135 done, ok=63 err=0 (160.3m)
[mistral_large3] 6200/9135 done, ok=63 err=0 (161.8m)
[mistral_large3] 6250/9135 done, ok=65 err=0 (162.9m)
[mistral_large3] 6300/9135 done, ok=65 err=0 (163.8m)
[mistral_large3] 6350/9135 done, ok=65 err=0 (164.5m)
[mistral_large3] 6400/9135 done, ok=78 err=0 (166.0m)
[mistral_large3] 6450/9135 done, ok=82 err=0 (167.4m)
[mistral_large3] 6500/9135 done, ok=101 err=0 (168.2m)
[mistral_large3] 6550/9135 done, ok=114 err=0 (169.6m)
[mistral_large3] 6600/9135 done, ok=117 err=0 (170.7m)
[mistral_large3] 6650/9135 done, ok=118 err=0 (172.5m)
[mistral_large3] 6700/9135 done, ok=125 err=0 (174.1m)
[mistral_large3] 6750/9135 done, ok=125 err=0 (175.7m)
[mistral_large3] 6800/9135 done, ok=126 err=0 (178.6m)
[mistral_large3] 6850/9135 done, ok=127 err=0 (181.3m)
[mistral_large3] 6900/9135 done, ok=127 err=0 (183.6m)
[mistral_large3] 6950/9135 done, ok=134 err=0 (185.7m)
[mistral_large3] 7000/9135 done, ok=140 err=0 (187.9m)
[mistral_large3] 7050/9135 done, ok=151 err=0 (190.0m)
[mistral_large3] 7100/9135 done, ok=171 err=0 (192.2m)
[mistral_large3] 7150/9135 done, ok=178 err=0 (194.3m)
[mistral_large3] 7200/9135 done, ok=196 err=0 (196.2m)
[mistral_large3] 7250/9135 done, ok=206 err=0 (198.6m)
[mistral_large3] 7300/9135 done, ok=212 err=0 (200.7m)
[mistral_large3] 7350/9135 done, ok=217 err=0 (203.1m)
[mistral_large3] 7400/9135 done, ok=226 err=0 (205.4m)
[mistral_large3] 7450/9135 done, ok=236 err=0 (208.2m)
[mistral_large3] 7500/9135 done, ok=253 err=0 (210.4m)
[mistral_large3] 7550/9135 done, ok=255 err=0 (212.8m)
[mistral_large3] 7600/9135 done, ok=257 err=0 (215.3m)
[mistral_large3] 7650/9135 done, ok=276 err=0 (216.9m)
[mistral_large3] 7700/9135 done, ok=286 err=0 (219.4m)
[mistral_large3] 7750/9135 done, ok=310 err=0 (221.7m)
[mistral_large3] 7800/9135 done, ok=322 err=0 (224.3m)
[mistral_large3] 7850/9135 done, ok=348 err=0 (226.8m)
[mistral_large3] 7900/9135 done, ok=354 err=0 (228.7m)
[mistral_large3] 7950/9135 done, ok=354 err=0 (231.1m)
[mistral_large3] 8000/9135 done, ok=374 err=0 (233.2m)
[mistral_large3] 8050/9135 done, ok=392 err=0 (235.3m)
[mistral_large3] 8100/9135 done, ok=393 err=0 (237.5m)
[mistral_large3] 8150/9135 done, ok=396 err=0 (239.8m)
[mistral_large3] 8200/9135 done, ok=408 err=0 (241.9m)
[mistral_large3] 8250/9135 done, ok=415 err=0 (244.2m)
[mistral_large3] 8300/9135 done, ok=421 err=0 (246.8m)
[mistral_large3] 8350/9135 done, ok=431 err=0 (248.9m)
[mistral_large3] 8400/9135 done, ok=438 err=0 (251.2m)
[mistral_large3] 8450/9135 done, ok=438 err=0 (253.3m)
[mistral_large3] 8500/9135 done, ok=439 err=0 (255.7m)
[mistral_large3] 8550/9135 done, ok=445 err=0 (258.2m)
[mistral_large3] 8600/9135 done, ok=458 err=0 (260.5m)
[mistral_large3] 8650/9135 done, ok=467 err=0 (263.2m)
[mistral_large3] 8700/9135 done, ok=469 err=0 (266.0m)
[mistral_large3] 8750/9135 done, ok=469 err=0 (268.7m)
[mistral_large3] 8800/9135 done, ok=479 err=0 (270.4m)
[mistral_large3] 8850/9135 done, ok=486 err=0 (272.7m)
[mistral_large3] 8900/9135 done, ok=494 err=0 (274.9m)
[mistral_large3] 8950/9135 done, ok=500 err=0 (277.3m)
[mistral_large3] 9000/9135 done, ok=518 err=0 (279.4m)
[mistral_large3] 9050/9135 done, ok=532 err=0 (281.8m)
[mistral_large3] 9100/9135 done, ok=542 err=0 (283.9m)
[mistral_large3] DONE 9135 calls, ok=545 err=0 in 285.6m
